mode,route,cycle,persona,method,nav_ms,ttfb_ms,dcl_ms,load_ms,fp_ms,fcp_ms,lcp_ms,longtask_count,longtask_ms,request_count,bytes,heap_mb,supabase_calls,supabase_ms_total,supabase_ms_max,error
login-chain,/login->/dashboard,1,,,12437,57,7636,7647,96,96,7716,0,0,83,29296,10.8,8,1968,698,
login-chain,/login->/dashboard,2,,,10309,40,7665,7675,120,120,7712,0,0,83,24196,10.9,8,2009,672,
login-chain,/login->/dashboard,3,,,10348,48,7516,7525,128,128,7568,0,0,83,17251,10.8,8,2102,723,
login-chain,/login->/dashboard,4,,,12789,56,8024,8034,112,112,8080,0,0,83,26596,10.9,8,2066,706,
login-chain,/login->/dashboard,5,,,10433,29,7726,7743,80,80,7780,0,0,83,24300,10.8,8,2026,667,
cold,/dashboard,1,ops,,12113,12,10597,10620,72,72,10664,0,0,54,536263,5.8,6,1342,465,
cold,/dashboard,2,ops,,9022,3,7568,7589,72,72,7620,0,0,54,544537,5.8,6,1473,482,
cold,/dashboard,3,ops,,8997,4,7490,7513,68,68,7536,0,0,54,540870,5.9,6,1445,445,
cold,/dashboard,4,ops,,10642,6,10103,10120,128,128,128,0,0,33,98726,1.6,0,0,,
cold,/dashboard,5,ops,,8488,6,7952,7967,92,92,8000,0,0,33,601918,2,0,0,,
cold,/dashboard,6,ops,,11293,6,10757,10769,100,100,10800,0,0,33,602277,2,0,0,,
cold,/dashboard,7,ops,,13277,4,12735,12749,84,84,12784,0,0,33,602277,2,0,0,,
cold,/dashboard,8,ops,,8966,4,8437,8448,68,68,8476,0,0,33,601919,2,0,0,,
cold,/dashboard,9,ops,,8114,5,7601,7603,68,68,7644,0,0,33,601919,2,0,0,,
cold,/dashboard,10,ops,,8043,4,7510,7520,76,76,7552,0,0,33,601919,2,0,0,,
cold,/visits,1,ops,,2989,436,2385,2426,492,492,2452,0,0,32,624803,1.7,0,0,,
cold,/visits,2,ops,,5245,2954,4695,4734,3004,3004,4760,0,0,32,624803,1.7,0,0,,
cold,/visits,3,ops,,2978,445,2362,2364,496,496,2420,0,0,32,624803,1.7,0,0,,
cold,/visits,4,ops,,2880,476,2339,2371,528,528,2396,0,0,32,624803,1.7,0,0,,
cold,/visits,5,ops,,2998,508,2384,2385,560,560,2460,0,0,32,624803,1.7,0,0,,
cold,/visits,6,ops,,2950,459,2337,2387,512,512,2420,1,51,32,624803,1.7,0,0,,
cold,/visits,7,ops,,3043,476,2444,2482,528,528,2512,0,0,32,624803,1.7,0,0,,
cold,/visits,8,ops,,2872,443,2311,2361,492,492,2392,1,51,32,624803,1.7,0,0,,
cold,/visits,9,ops,,5172,450,4574,4612,508,508,4644,0,0,32,624803,1.7,0,0,,
cold,/visits,10,ops,,5386,1074,4840,4876,1124,1124,4900,0,0,32,624803,1.7,0,0,,
cold,/factories,1,ops,,6178,3170,5599,5663,3216,5696,5696,1,60,31,680523,2.4,0,0,,
cold,/factories,2,ops,,2796,3,2285,2286,52,2384,2384,1,54,31,680211,2.4,0,0,,
cold,/factories,3,ops,,2670,3,2147,2149,56,2380,2380,1,56,31,680211,2.4,0,0,,
cold,/factories,4,ops,,3146,3,2563,2626,56,2648,2648,1,54,31,680211,2.4,0,0,,
cold,/factories,5,ops,,3100,3,2520,2579,60,2600,2600,0,0,31,680211,2.4,0,0,,
cold,/factories,6,ops,,2719,4,2196,2198,52,2384,2384,1,55,31,680211,2.4,0,0,,
cold,/factories,7,ops,,2691,3,2181,2182,56,2388,2388,1,54,31,680211,2.4,0,0,,
cold,/factories,8,ops,,2742,3,2220,2221,60,2376,2376,1,54,31,680211,2.4,0,0,,
cold,/factories,9,ops,,3096,4,2522,2579,60,2600,2600,0,0,31,680211,2.4,0,0,,
cold,/factories,10,ops,,2696,3,2171,2173,52,2384,2384,1,54,31,680211,2.4,0,0,,
cold,/planning,1,planner,,4473,3917,3959,3961,3996,3996,3996,0,0,31,593517,2,0,0,,
cold,/planning,2,planner,,1932,1391,1419,1421,1444,1444,1444,0,0,31,593517,2,0,0,,
cold,/planning,3,planner,,1931,1384,1397,1415,1436,1436,1436,0,0,31,593517,2,0,0,,
cold,/planning,4,planner,,1947,1393,1405,1422,1452,1452,1452,0,0,31,593517,2,0,0,,
cold,/planning,5,planner,,2109,1560,1572,1590,1616,1616,1616,0,0,31,593517,2,0,0,,
cold,/planning,6,planner,,2039,1487,1499,1516,1544,1544,1544,0,0,31,593517,2,0,0,,
cold,/planning,7,planner,,1975,1422,1436,1454,1476,1476,1476,0,0,31,593517,2,0,0,,
cold,/planning,8,planner,,1952,1405,1419,1436,1460,1460,1460,0,0,31,593517,2,0,0,,
cold,/planning,9,planner,,1961,1408,1420,1439,1468,1468,1468,0,0,31,593517,2,0,0,,
cold,/planning,10,planner,,1933,1385,1397,1414,1440,1440,1440,0,0,31,593517,2,0,0,,
cold,/field,1,inspector,,5155,3112,4622,4624,3224,3224,4672,0,0,31,670686,2.7,0,0,,
cold,/field,2,inspector,,2464,441,1943,1955,480,480,1980,0,0,31,670686,2.7,0,0,,
cold,/field,3,inspector,,2480,464,1970,1971,556,556,2008,0,0,31,670686,2.7,0,0,,
cold,/field,4,inspector,,2457,436,1934,1946,480,480,1972,0,0,31,670686,2.7,0,0,,
cold,/field,5,inspector,,2458,442,1940,1941,484,484,1976,0,0,31,670686,2.7,0,0,,
cold,/field,6,inspector,,2437,444,1926,1927,492,492,1968,0,0,31,670686,2.7,0,0,,
cold,/field,7,inspector,,2467,440,1956,1957,488,488,1996,0,0,31,670686,2.7,0,0,,
cold,/field,8,inspector,,2831,440,2320,2321,488,488,2364,0,0,31,670686,2.7,0,0,,
cold,/field,9,inspector,,2454,451,1941,1942,492,492,1984,0,0,31,670686,2.7,0,0,,
cold,/field,10,inspector,,2433,447,1924,1925,492,492,1956,0,0,31,670686,2.7,0,0,,
cold,/visits/calendar,1,ops,,2246,516,1734,1735,552,552,1768,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,2,ops,,2582,448,2071,2071,480,480,2332,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,3,ops,,2217,448,1706,1706,484,484,1740,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,4,ops,,2230,451,1720,1721,488,488,1756,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,5,ops,,2275,447,1764,1764,488,488,1796,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,6,ops,,2230,440,1720,1720,468,468,1744,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,7,ops,,2210,513,1700,1701,544,544,1728,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,8,ops,,2225,456,1714,1715,492,492,1752,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,9,ops,,2332,508,1821,1821,544,544,1852,0,0,63,697209,3.1,0,0,,
cold,/visits/calendar,10,ops,,2306,460,1741,1744,496,496,1772,0,0,63,697209,3.1,0,0,,
warm,/dashboard,1,ops,link-click,9064,18,8477,8492,84,84,8516,0,0,33,398516,3.5,0,0,,
warm,/dashboard,2,ops,link-click,10006,8,9462,9472,68,68,9488,0,0,33,18916,5.4,0,0,,
warm,/dashboard,3,ops,link-click,13914,9,13331,13344,68,68,13376,0,0,33,18916,2.8,0,0,,
warm,/dashboard,4,ops,link-click,8260,6,7715,7726,60,60,7744,0,0,33,18916,4.3,0,0,,
warm,/dashboard,5,ops,link-click,8237,6,7697,7706,64,64,7720,0,0,33,18916,6.2,0,0,,
warm,/dashboard,6,ops,link-click,10930,7,10375,10381,68,68,68,0,0,33,18916,2.8,0,0,,
warm,/dashboard,7,ops,link-click,8055,8,7506,7515,60,60,7528,0,0,33,18916,4.3,0,0,,
warm,/dashboard,8,ops,link-click,8064,5,7508,7519,60,60,60,0,0,33,18916,6.2,0,0,,
warm,/dashboard,9,ops,link-click,10574,9,10017,10028,68,68,10044,0,0,33,18916,2.8,0,0,,
warm,/dashboard,10,ops,link-click,8052,9,7515,7524,60,60,7544,0,0,33,18916,4.3,0,0,,
warm,/visits,1,ops,in-context-goto,3041,573,2494,2513,612,612,612,0,0,32,39237,3.7,0,0,,
warm,/visits,2,ops,in-context-goto,2857,504,2321,2333,544,544,544,0,0,32,39237,4.7,0,0,,
warm,/visits,3,ops,in-context-goto,2884,516,2348,2360,552,552,552,0,0,32,39237,6.1,0,0,,
warm,/visits,4,ops,in-context-goto,2937,573,2355,2356,616,616,616,0,0,32,39237,7.6,0,0,,
warm,/visits,5,ops,in-context-goto,2854,515,2316,2328,552,552,552,0,0,32,39237,9.1,0,0,,
warm,/visits,6,ops,in-context-goto,2873,538,2332,2344,576,576,576,0,0,32,39237,4.5,0,0,,
warm,/visits,7,ops,in-context-goto,2990,587,2457,2470,624,624,624,0,0,32,39237,5.1,0,0,,
warm,/visits,8,ops,in-context-goto,2836,521,2305,2317,560,560,560,0,0,32,39237,7.5,0,0,,
warm,/visits,9,ops,in-context-goto,2855,493,2321,2334,536,536,536,0,0,32,39237,4.1,0,0,,
warm,/visits,10,ops,in-context-goto,2887,582,2357,2358,624,624,624,0,0,32,39237,4.8,0,0,,
warm,/factories,1,ops,link-click,2981,14,2386,2435,2456,2456,2456,0,0,31,99263,2.4,0,0,,
warm,/factories,2,ops,link-click,2729,9,2191,2193,2372,2372,2372,0,0,31,99263,4.4,0,0,,
warm,/factories,3,ops,link-click,2763,6,2225,2225,2360,2360,2360,0,0,31,99263,3.9,0,0,,
warm,/factories,4,ops,link-click,2850,12,2310,2312,2376,2376,2376,0,0,31,99263,5.8,0,0,,
warm,/factories,5,ops,link-click,2687,9,2153,2154,2368,2368,2368,1,53,31,99263,6.7,0,0,,
warm,/factories,6,ops,link-click,2751,9,2214,2215,2368,2368,2368,0,0,31,99263,3.9,0,0,,
warm,/factories,7,ops,link-click,2800,9,2262,2263,2368,2368,2368,0,0,31,99263,5.9,0,0,,
warm,/factories,8,ops,link-click,2738,9,2202,2203,2372,2372,2372,1,50,31,99263,6.7,0,0,,
warm,/factories,9,ops,link-click,2717,12,2182,2183,2368,2368,2368,1,52,31,99263,3.9,0,0,,
warm,/factories,10,ops,link-click,2872,12,2284,2284,2360,2360,2360,0,0,31,99263,5.9,0,0,,
warm,/planning,1,planner,link-click,4783,4201,4233,4234,4252,4252,4252,0,0,31,13745,3.5,0,0,,
warm,/planning,2,planner,link-click,2018,1454,1477,1483,1492,1492,1492,0,0,31,13745,5.4,0,0,,
warm,/planning,3,planner,link-click,1995,1434,1457,1461,1480,1480,1480,0,0,31,13745,6.3,0,0,,
warm,/planning,4,planner,link-click,1962,1393,1416,1422,1436,1436,1436,0,0,31,13745,8.1,0,0,,
warm,/planning,5,planner,link-click,1974,1411,1428,1441,1452,1452,1452,0,0,31,13745,9.5,0,0,,
warm,/planning,6,planner,link-click,1973,1411,1434,1441,1452,1452,1452,0,0,31,13745,3,0,0,,
warm,/planning,7,planner,link-click,2066,1504,1526,1533,1544,1544,1544,0,0,31,13745,4.6,0,0,,
warm,/planning,8,planner,link-click,1936,1376,1394,1402,1412,1412,1412,0,0,31,13745,3.1,0,0,,
warm,/planning,9,planner,link-click,2027,1455,1472,1481,1484,1484,1484,0,0,31,13745,4.9,0,0,,
warm,/planning,10,planner,link-click,2041,1481,1505,1510,1520,1520,1520,0,0,31,13745,3.1,0,0,,
warm,/field,1,inspector,link-click,2622,528,2066,2067,568,568,568,0,0,31,85221,4.8,0,0,,
warm,/field,2,inspector,link-click,2558,521,1965,1966,560,560,560,0,0,31,85221,7.8,0,0,,
warm,/field,3,inspector,link-click,2491,519,1956,1956,564,564,564,0,0,31,85220,10.4,0,0,,
warm,/field,4,inspector,link-click,2478,510,1938,1939,552,552,552,0,0,31,85221,12.6,0,0,,
warm,/field,5,inspector,link-click,2534,519,1985,1989,560,560,560,0,0,31,85221,15.1,0,0,,
warm,/field,6,inspector,link-click,2501,500,1964,1965,536,536,536,0,0,31,85220,18.2,0,0,,
warm,/field,7,inspector,link-click,2610,505,2075,2076,544,544,544,0,0,31,85220,11.3,0,0,,
warm,/field,8,inspector,link-click,2511,805,1983,1983,844,844,844,0,0,31,85220,13.8,0,0,,
warm,/field,9,inspector,link-click,2475,529,1942,1943,572,572,572,0,0,31,85220,13.6,0,0,,
warm,/field,10,inspector,link-click,2589,518,2057,2057,552,552,552,0,0,31,85221,14.8,0,0,,
warm,/visits/calendar,1,ops,link-click,2373,487,1803,1804,536,536,536,0,0,31,69884,3.4,0,0,,
warm,/visits/calendar,2,ops,link-click,2383,458,1790,1791,496,496,496,0,0,31,69884,4.7,0,0,,
warm,/visits/calendar,3,ops,link-click,2306,443,1756,1756,480,480,480,0,0,31,69884,6.1,0,0,,
warm,/visits/calendar,4,ops,link-click,2336,459,1780,1782,492,492,492,0,0,31,69884,7.5,0,0,,
warm,/visits/calendar,5,ops,link-click,2332,461,1749,1752,492,492,492,0,0,31,69884,8.9,0,0,,
warm,/visits/calendar,6,ops,link-click,4721,459,4136,4136,496,496,496,0,0,31,69884,2.8,0,0,,
warm,/visits/calendar,7,ops,link-click,2273,455,1728,1728,496,496,496,0,0,31,69884,4.9,0,0,,
warm,/visits/calendar,8,ops,link-click,2349,580,1789,1790,620,620,620,0,0,31,69884,5.8,0,0,,
warm,/visits/calendar,9,ops,link-click,2290,473,1737,1738,508,508,508,0,0,31,69884,7.3,0,0,,
warm,/visits/calendar,10,ops,link-click,2288,523,1713,1714,552,552,552,0,0,31,69884,8.7,0,0,,
cold,__VISIT_DETAIL__,1,ops,,2459,464,1877,1895,500,500,500,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,2,ops,,2343,460,1771,1782,500,500,500,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,3,ops,,2406,465,1831,1843,500,500,500,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,4,ops,,2408,444,1836,1849,488,488,488,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,5,ops,,2321,450,1747,1760,488,488,488,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,6,ops,,4942,516,4368,4380,548,548,548,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,7,ops,,2425,509,1850,1863,548,548,548,0,0,63,448554,1.6,0,0,,
cold,__VISIT_DETAIL__,8,ops,,2266,458,1744,1756,496,496,496,0,0,63,448554,1.6,0,0,,
