mode,route,cycle,persona,method,nav_ms,ttfb_ms,dcl_ms,load_ms,fp_ms,fcp_ms,lcp_ms,longtask_count,longtask_ms,request_count,bytes,heap_mb,supabase_calls,supabase_ms_total,supabase_ms_max,error
cold,/dashboard,1,ops,,2742,562,2226,2229,620,620,2336,0,0,39,608218,5.3,6,1448,474,
cold,/dashboard,2,ops,,2693,599,2177,2181,652,652,2348,0,0,39,608213,5.2,6,1266,463,
cold,/dashboard,3,ops,,2611,523,2098,2099,564,564,2328,0,0,39,608113,5.2,6,1707,512,
cold,/dashboard,4,ops,,2607,482,2091,2095,528,528,2336,0,0,39,608215,5.3,6,1246,467,
cold,/dashboard,5,ops,,5177,2901,4611,4614,2956,2956,4648,0,0,39,608219,5.2,6,1296,463,
cold,/operations,1,ops,,4597,438,3123,3125,496,496,3252,2,157,73,1428752,59.4,6,1251,469,
cold,/operations,2,ops,,4492,431,3068,3070,480,480,3188,1,89,73,1428750,57.2,6,1193,456,
cold,/operations,3,ops,,4476,453,3155,3157,508,508,3272,1,86,75,1428887,54.5,6,1222,448,
cold,/operations,4,ops,,4458,459,3083,3085,512,512,3204,1,91,75,1428795,62.1,6,1401,454,
cold,/operations,5,ops,,4501,450,3078,3079,500,500,3200,1,94,73,1428761,58.1,6,1428,480,
cold,/factories,1,ops,,1834,441,1321,1322,496,496,1412,1,57,37,686391,10.1,6,1531,511,
cold,/factories,2,ops,,1862,438,1303,1350,480,480,1380,0,0,37,686492,10.1,6,1352,466,
cold,/factories,3,ops,,4321,2858,3708,3709,2904,2904,3788,1,52,37,686606,10.1,6,1704,463,
cold,/factories,4,ops,,1816,433,1303,1304,468,468,1384,1,51,37,686493,10.1,6,1325,457,
cold,/factories,5,ops,,1930,474,1319,1366,524,524,1396,0,0,37,686492,10.1,6,1225,455,
cold,/planning,1,planner,,1756,483,534,534,548,548,832,0,0,37,600951,5,6,1386,464,
cold,/planning,2,planner,,1965,633,660,679,684,684,968,0,0,37,600874,5,6,1451,459,
cold,/planning,3,planner,,1724,445,501,501,496,496,788,0,0,37,600953,5,6,1264,457,
cold,/planning,4,planner,,1809,489,534,534,540,540,828,0,0,37,600847,5,6,1456,468,
cold,/planning,5,planner,,1793,453,494,517,520,520,520,0,0,37,600951,5,6,1354,522,
cold,/reviews,1,ops,,4353,483,3790,3790,540,540,3908,1,81,37,632504,9.1,6,1183,444,
cold,/reviews,2,ops,,4263,463,3681,3751,516,516,3784,1,70,37,632505,9.2,6,1336,525,
cold,/reviews,3,ops,,4017,473,3439,3507,528,528,3544,1,69,37,632407,9.2,6,1323,464,
cold,/reviews,4,ops,,4023,454,3450,3514,504,504,3556,1,64,37,632749,9.2,6,1333,452,
cold,/reviews,5,ops,,4091,470,3510,3580,528,528,3616,1,70,37,632505,9.2,6,1489,467,
cold,/ai/suggestions,1,ops,,1810,435,460,482,492,492,492,0,0,37,605785,5.3,6,1480,479,
cold,/ai/suggestions,2,ops,,1675,447,478,503,500,500,500,0,0,37,605889,5.4,6,1229,454,
cold,/ai/suggestions,3,ops,,1762,436,468,493,488,488,488,0,0,37,605888,5.4,6,1402,464,
cold,/ai/suggestions,4,ops,,1836,459,490,515,516,516,516,0,0,37,605882,5.4,6,1696,538,
cold,/ai/suggestions,5,ops,,1763,433,447,491,496,496,496,0,0,37,605786,5.4,6,1381,469,
warm,/dashboard,1,ops,link-click,2735,560,1444,1445,624,624,1532,0,0,5,5545,5.8,0,0,,
warm,/dashboard,2,ops,link-click,2701,2945,3697,3698,2996,2996,3772,0,0,6,5546,12.1,0,0,,
warm,/dashboard,3,ops,link-click,2635,453,1317,1317,492,492,1392,0,0,6,5547,22.5,0,0,,
warm,/dashboard,4,ops,link-click,2597,504,1368,1369,540,540,1448,0,0,6,5546,26.9,0,0,,
warm,/dashboard,5,ops,link-click,2580,440,1303,1304,488,488,1380,0,0,5,0,32.4,0,0,,
warm,/dashboard,6,ops,link-click,2685,447,1306,1306,484,484,1384,0,0,5,5545,37.6,0,0,,
warm,/dashboard,7,ops,link-click,2703,451,1314,1315,488,488,1396,0,0,6,5544,11.2,0,0,,
warm,/dashboard,8,ops,link-click,2638,452,1303,1303,484,484,1376,0,0,5,5547,18.4,0,0,,
warm,/dashboard,9,ops,link-click,2692,3002,3823,3868,3036,3036,3904,0,0,5,5546,13.6,0,0,,
warm,/dashboard,10,ops,link-click,2581,514,1368,1368,540,540,1452,0,0,5,5545,23.1,0,0,,
warm,/operations,1,ops,link-click,4547,495,1314,1357,556,556,1396,1,92,41,725064,56,0,0,,
warm,/operations,2,ops,link-click,4160,446,1290,1290,496,496,1364,1,89,38,221038,44.9,0,0,,
warm,/operations,3,ops,link-click,3568,442,1312,1312,476,476,1384,1,72,37,220803,66.9,0,0,,
warm,/operations,4,ops,link-click,3597,439,1295,1295,476,476,1368,1,78,36,220724,111.1,0,0,,
warm,/operations,5,ops,link-click,3991,2930,3805,3805,2984,2984,3884,1,80,37,220803,63,0,0,,
warm,/operations,6,ops,link-click,4124,511,1407,1408,556,556,1512,1,88,40,221188,44.8,0,0,,
warm,/operations,7,ops,link-click,3598,454,1311,1311,508,508,1388,1,79,36,220729,64.5,0,0,,
warm,/operations,8,ops,link-click,4067,446,1313,1314,492,492,1392,1,79,38,221040,67.1,0,0,,
warm,/operations,9,ops,link-click,4025,446,1333,1333,492,492,1408,1,76,37,220803,85.1,0,0,,
warm,/operations,10,ops,link-click,6550,459,1315,1316,512,512,1392,1,77,38,221043,45.1,0,0,,
warm,/factories,1,ops,link-click,1851,466,2136,2139,520,520,2344,1,61,3,0,8.6,0,0,,
warm,/factories,2,ops,link-click,2023,460,2141,2142,512,512,2336,1,55,3,0,15,0,0,,
warm,/factories,3,ops,link-click,1872,479,2127,2129,516,516,2324,1,57,3,0,24.2,0,0,,
warm,/factories,4,ops,link-click,1870,609,2204,2205,648,648,2340,1,57,3,0,26.5,0,0,,
warm,/factories,5,ops,link-click,1920,528,2110,2111,568,568,2336,1,52,3,0,32.4,0,0,,
warm,/factories,6,ops,link-click,4514,857,3055,3057,888,888,3080,1,84,3,0,8.7,0,0,,
warm,/factories,7,ops,link-click,1868,509,2253,2255,544,544,2328,1,55,3,0,15.7,0,0,,
warm,/factories,8,ops,link-click,1869,609,2238,2240,644,644,2328,1,58,3,0,8.3,0,0,,
warm,/factories,9,ops,link-click,1921,466,2086,2088,500,500,2328,1,54,3,0,15.7,0,0,,
warm,/factories,10,ops,link-click,1870,499,2130,2132,536,536,2328,1,58,3,0,21,0,0,,
warm,/planning,1,planner,link-click,1147,3060,3939,3940,3324,3324,4016,0,0,2,0,5.7,0,0,,
warm,/planning,2,planner,link-click,1054,531,1417,1417,572,572,1492,0,0,3,0,11.9,0,0,,
warm,/planning,3,planner,link-click,1052,591,1368,1369,628,628,1452,0,0,3,0,22.3,0,0,,
warm,/planning,4,planner,link-click,1070,532,1352,1353,564,564,1424,0,0,2,0,26.5,0,0,,
warm,/planning,5,planner,link-click,1053,536,1421,1421,568,568,1504,0,0,2,0,31.9,0,0,,
warm,/planning,6,planner,link-click,1052,531,1355,1355,564,564,1432,0,0,2,0,37,0,0,,
warm,/planning,7,planner,link-click,1024,656,1331,1332,684,684,1404,0,0,2,0,50.7,0,0,,
warm,/planning,8,planner,link-click,1065,509,1329,1329,548,548,1404,0,0,3,0,12.8,0,0,,
warm,/planning,9,planner,link-click,1055,532,1328,1329,568,568,1400,0,0,2,0,27.3,0,0,,
warm,/planning,10,planner,link-click,1071,581,1368,1369,616,616,1440,0,0,2,0,21.9,0,0,,
warm,/reviews,1,ops,link-click,4057,2642,3399,3400,2696,2696,3480,1,81,3,0,9.4,0,0,,
warm,/reviews,2,ops,link-click,4321,466,1326,1327,504,504,1404,1,66,3,0,21,0,0,,
warm,/reviews,3,ops,link-click,3968,488,1314,1314,520,520,1388,1,63,3,18328,28.3,0,0,,
warm,/reviews,4,ops,link-click,4010,455,1311,1312,496,496,1388,1,63,3,18332,47.9,0,0,,
warm,/reviews,5,ops,link-click,4023,450,1336,1337,488,488,1412,1,67,3,0,21.2,0,0,,
warm,/reviews,6,ops,link-click,4117,3024,3775,3776,3064,3064,3852,1,51,3,18330,39.7,0,0,,
warm,/reviews,7,ops,link-click,4008,476,1298,1299,516,516,1376,1,64,3,0,9.7,0,0,,
warm,/reviews,8,ops,link-click,4175,450,1312,1312,492,492,1392,1,65,3,18328,21.6,0,0,,
warm,/reviews,9,ops,link-click,4003,448,1303,1304,484,484,1376,1,64,3,0,28.8,0,0,,
warm,/reviews,10,ops,link-click,4933,460,1329,1329,500,500,1408,1,57,3,18332,48.2,0,0,,
warm,/ai/suggestions,1,ops,link-click,1034,2967,3763,3764,3028,3028,3844,0,0,3,0,6.1,0,0,,
warm,/ai/suggestions,2,ops,link-click,1068,450,1349,1349,504,504,1428,0,0,3,0,12.5,0,0,,
warm,/ai/suggestions,3,ops,link-click,1015,487,1331,1332,520,520,1400,0,0,3,3820,23.3,0,0,,
warm,/ai/suggestions,4,ops,link-click,1015,447,1340,1341,492,492,1416,0,0,3,0,27.9,0,0,,
warm,/ai/suggestions,5,ops,link-click,1019,454,1338,1338,484,484,1416,0,0,3,0,33.9,0,0,,
warm,/ai/suggestions,6,ops,link-click,1003,699,1577,1578,736,736,1660,0,0,3,0,39.3,0,0,,
warm,/ai/suggestions,7,ops,link-click,998,450,1342,1343,488,488,1424,0,0,3,3821,53.1,0,0,,
warm,/ai/suggestions,8,ops,link-click,1016,456,1331,1332,488,488,1412,0,0,3,0,13.3,0,0,,
warm,/ai/suggestions,9,ops,link-click,1005,449,1329,1329,480,480,1396,0,0,3,3821,28.2,0,0,,
warm,/ai/suggestions,10,ops,link-click,1005,461,1364,1364,488,488,1432,0,0,3,3823,22.7,0,0,,
