file,screen_state,theme,lang,design_width_px,raster_w,raster_h,sha256,captured_at,deterministic_selector
CD-012_SCR-ADM-050_outlier_dark_en_1440.png,CD-012/outlier,dark,en,1440,924,540,8331f167361de0ff7a95ff5fe29024626bd55a786cee4013195aaa669fc77d3b,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=outlier&l=en&t=dark&w=1440
CD-012_SCR-ADM-050_primary_dark_ar_1440.png,CD-012/published,dark,ar,1440,924,540,4cc55a3c42ce5c813215fb1ca48f5bdb0dd209a3126ae7f3bea84b927f744254,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=published&l=ar&t=dark&w=1440
CD-012_SCR-ADM-050_primary_dark_en_1024.png,CD-012/published,dark,en,1024,924,540,45bdf0d45bfec9635595d6034324b988402d7f770390e163c1ca569d5c4fd090,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=published&l=en&t=dark&w=1024
CD-012_SCR-ADM-050_primary_dark_en_1440.png,CD-012/published,dark,en,1440,924,540,d45ac8b3e7540e6b6ed99b6db42e2e28b03821b3e6dde77ef0771521d96c1ab6,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=published&l=en&t=dark&w=1440
CD-012_SCR-ADM-050_primary_dark_en_412.png,CD-012/published,dark,en,412,924,540,53dc3934c23cca9b7c90df86d2646940c5cb8825ced96b25881c5bee483b4aa9,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=published&l=en&t=dark&w=412
CD-012_SCR-ADM-050_primary_light_en_1440.png,CD-012/published,light,en,1440,924,540,d763bb45c6263a4ffe01f2466f7dac0e9cb11be2dba8c68d608f66caabf785e5,2026-07-15T18:15:17.962Z,export.html?sc=cd12&s=published&l=en&t=light&w=1440
CD-013_SCR-ADM-051_outlier_dark_en_1440.png,CD-013/validation,dark,en,1440,924,540,1696348abf2aedbc0089ff7bdb6983360e4be4ad30db5b2ce6050f5f94ec2269,2026-07-15T18:15:17.962Z,export.html?sc=cd13&s=validation&l=en&t=dark&w=1440
CD-013_SCR-ADM-051_primary_dark_ar_1440.png,CD-013/draft,dark,ar,1440,924,540,d391016496f887e0cbc7665236bb02740174b75e80986571517f964bf978113f,2026-07-15T18:15:17.962Z,export.html?sc=cd13&s=draft&l=ar&t=dark&w=1440
CD-013_SCR-ADM-051_primary_dark_en_1024.png,CD-013/draft,dark,en,1024,924,540,96f6cfff5a55fb260ae5663ffa72e2b7d86866aca45be7d9c3e3de4994ef3615,2026-07-15T18:15:17.962Z,export.html?sc=cd13&s=draft&l=en&t=dark&w=1024
CD-013_SCR-ADM-051_primary_dark_en_1440.png,CD-013/draft,dark,en,1440,924,540,df41978ab4036a05b6d40861e55857aeea3bce54e493c20d761b82bbeeab6f23,2026-07-15T18:15:17.962Z,export.html?sc=cd13&s=draft&l=en&t=dark&w=1440
