endpoint,direction,field_path,data_type,source
User > Login,request,email,text,formdata
User > Login,request,password,text,formdata
User > Login,response,$.success,bool,Successful Response
User > Login,response,$.token,str,Successful Response
User > Login,response,$.user,dict,Successful Response
User > Login,response,$.user.id,str,Successful Response
User > Login,response,$.user.old_id,NoneType,Successful Response
User > Login,response,$.user.username,str,Successful Response
User > Login,response,$.user.first_name,str,Successful Response
User > Login,response,$.user.last_name,str,Successful Response
User > Login,response,$.user.national_id,str,Successful Response
User > Login,response,$.user.email,str,Successful Response
User > Login,response,$.user.mobile,str,Successful Response
User > Login,response,$.user.entity,str,Successful Response
User > Login,response,$.user.date_of_birth,str,Successful Response
User > Login,response,$.user.language,str,Successful Response
User > Login,response,$.user.email_verified_at,str,Successful Response
User > Login,response,$.user.mobile_verified_at,str,Successful Response
User > Login,response,$.user.blocked_at,NoneType,Successful Response
User > Login,response,$.user.disabled_at,NoneType,Successful Response
User > Login,response,$.user.created_at,str,Successful Response
User > Login,response,$.user.updated_at,str,Successful Response
User > Login,response,$.user.last_login_at,str,Successful Response
User > Login,response,$.user.ndb_synched_at,NoneType,Successful Response
User > Login,response,$.user.ndb_last_ops_at,NoneType,Successful Response
User > Logout,response,$.success,bool,Successful Response
User > Logout,response,$.message,str,Successful Response
User > Profile,response,$.user,dict,Successful Response
User > Profile,response,$.user.id,str,Successful Response
User > Profile,response,$.user.old_id,NoneType,Successful Response
User > Profile,response,$.user.username,str,Successful Response
User > Profile,response,$.user.first_name,str,Successful Response
User > Profile,response,$.user.last_name,str,Successful Response
User > Profile,response,$.user.national_id,str,Successful Response
User > Profile,response,$.user.email,str,Successful Response
User > Profile,response,$.user.mobile,str,Successful Response
User > Profile,response,$.user.entity,str,Successful Response
User > Profile,response,$.user.date_of_birth,str,Successful Response
User > Profile,response,$.user.language,str,Successful Response
User > Profile,response,$.user.email_verified_at,str,Successful Response
User > Profile,response,$.user.mobile_verified_at,str,Successful Response
User > Profile,response,$.user.blocked_at,NoneType,Successful Response
User > Profile,response,$.user.disabled_at,NoneType,Successful Response
User > Profile,response,$.user.created_at,str,Successful Response
User > Profile,response,$.user.updated_at,str,Successful Response
User > Profile,response,$.user.last_login_at,str,Successful Response
User > Profile,response,$.user.ndb_synched_at,NoneType,Successful Response
User > Profile,response,$.user.ndb_last_ops_at,NoneType,Successful Response
