object_type,schema,name,detail,migration_source,classification,notes
table,public,action_forms,columns=11; pk_cols=1; fk_out=3; triggers=1; rls=enabled; policies=1,0001_foundation.sql,canonical+applied,
column,public,action_forms.id,type=uuid; nullable=NO; default=gen_random_uuid(); ordinal=1,0001_foundation.sql,canonical+applied,
column,public,action_forms.inspection_id,type=uuid; nullable=NO; default=None; ordinal=2,0001_foundation.sql,canonical+applied,
column,public,action_forms.violation_id,type=uuid; nullable=YES; default=None; ordinal=3,0001_foundation.sql,canonical+applied,
column,public,action_forms.form_type,type=text; nullable=NO; default='corrective'::text; ordinal=4,0001_foundation.sql,canonical+applied,
column,public,action_forms.owner_name,type=text; nullable=YES; default=None; ordinal=5,0001_foundation.sql,canonical+applied,
column,public,action_forms.owner_role,type=text; nullable=YES; default=None; ordinal=6,0001_foundation.sql,canonical+applied,
column,public,action_forms.due_at,type=timestamp with time zone; nullable=YES; default=None; ordinal=7,0001_foundation.sql,canonical+applied,
column,public,action_forms.required_correction,type=text; nullable=YES; default=None; ordinal=8,0001_foundation.sql,canonical+applied,
column,public,action_forms.status,type=text; nullable=NO; default='open'::text; ordinal=9,0001_foundation.sql,canonical+applied,
column,public,action_forms.is_blocking,type=boolean; nullable=NO; default=true; ordinal=10,0001_foundation.sql,canonical+applied,
column,public,action_forms.item_id,type=uuid; nullable=YES; default=None; ordinal=11,0001_foundation.sql,canonical+applied,
primary_key,public,action_forms_pkey,table=action_forms; columns=id,0001_foundation.sql,canonical+applied,
foreign_key,public,action_forms_inspection_id_fkey,action_forms.inspection_id -> inspections.id,0001_foundation.sql,canonical+applied,
foreign_key,public,action_forms_item_id_fkey,action_forms.item_id -> inspection_items.id,0001_foundation.sql,canonical+applied,
foreign_key,public,action_forms_violation_id_fkey,action_forms.violation_id -> violations.id,0001_foundation.sql,canonical+applied,
check,public,2200_18126_10_not_null,table=action_forms; columns=None,0001_foundation.sql,canonical+applied,
check,public,2200_18126_1_not_null,table=action_forms; columns=None,0001_foundation.sql,canonical+applied,
check,public,2200_18126_2_not_null,table=action_forms; columns=None,0001_foundation.sql,canonical+applied,
check,public,2200_18126_4_not_null,table=action_forms; columns=None,0001_foundation.sql,canonical+applied,
check,public,2200_18126_9_not_null,table=action_forms; columns=None,0001_foundation.sql,canonical+applied,
index,public,action_forms_inspection_item_uq,"CREATE UNIQUE INDEX action_forms_inspection_item_uq ON public.action_forms USING btree (inspection_id, item_id)",0001_foundation.sql,canonical+applied,
index,public,action_forms_open_due_idx,"CREATE INDEX action_forms_open_due_idx ON public.action_forms USING btree (due_at, id) WHERE (status <> 'closed'::text)",0001_foundation.sql,canonical+applied,
index,public,action_forms_pkey,CREATE UNIQUE INDEX action_forms_pkey ON public.action_forms USING btree (id),0001_foundation.sql,canonical+applied,
trigger,public,trg_audit_action_forms,"table=action_forms; timing=AFTER; events=DELETE,INSERT,UPDATE; action=EXECUTE FUNCTION audit_row_change()",0001_foundation.sql,canonical+applied,
rls_enablement,public,action_forms__rls,rls_enabled=True; forced=False,0001_foundation.sql,canonical+applied,
rls_policy,public,action_forms.actions_rw,cmd=ALL; roles={public}; permissive=PERMISSIVE,0001_foundation.sql,canonical+applied,
table,public,ai_events,columns=6; pk_cols=1; fk_out=2; triggers=1; rls=enabled; policies=2,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.id,type=uuid; nullable=NO; default=gen_random_uuid(); ordinal=1,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.suggestion_id,type=uuid; nullable=YES; default=None; ordinal=2,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.event_type,type=text; nullable=NO; default=None; ordinal=3,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.actor,type=uuid; nullable=YES; default=None; ordinal=4,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.payload,type=jsonb; nullable=NO; default='{}'::jsonb; ordinal=5,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
column,public,ai_events.created_at,type=timestamp with time zone; nullable=NO; default=now(); ordinal=6,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
primary_key,public,ai_events_pkey,table=ai_events; columns=id,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
foreign_key,public,ai_events_actor_fkey,ai_events.actor -> profiles.user_id,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
foreign_key,public,ai_events_suggestion_id_fkey,ai_events.suggestion_id -> ai_suggestions.id,20260717210000_mvp2_m2_11_assistive_ai.sql,canonical+applied,
